Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
SVM,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089947
Random Forest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9943783068783069
XGBoost,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9923941798941799
Logistic Regression,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746
